date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:52	20196/20196	---M--	200	added ('OK')	font/woff2	date:Fri,%2031%20May%202024%2016:53:52%20GMT	https://oldisgold.b12sites.com/assets/fonts/yantramanav-devanagari-normal-900.woff2	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/yantramanav-devanagari-normal-900.woff2	(from https://oldisgold.b12sites.com/index)
22:23:54	4456/4456	---M--	200	added ('OK')	font/woff2	date:Fri,%2031%20May%202024%2016:53:54%20GMT	https://oldisgold.b12sites.com/assets/fonts/yantramanav-latin-ext-normal-900.woff2	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/yantramanav-latin-ext-normal-900.woff2	(from https://oldisgold.b12sites.com/index)
22:23:54	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:53:55%20GMT	http://oldisgold.b12sites.com/assets/fonts/yantramanav-latin-normal-900.woff2	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/yantramanav-latin-normal-900.woff2	(from https://oldisgold.b12sites.com/index)
22:23:56	10016/10016	---M--	200	added ('OK')	font/woff2	date:Fri,%2031%20May%202024%2016:53:56%20GMT	https://oldisgold.b12sites.com/assets/fonts/yantramanav-latin-normal-900.woff2	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/yantramanav-latin-normal-900.woff2	(from https://oldisgold.b12sites.com/index)
22:23:56	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:53:57%20GMT	http://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://oldisgold.b12sites.com/index)
22:23:58	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:53:59%20GMT	http://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://oldisgold.b12sites.com/index)
22:23:59	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2031%20May%202024%2016:53:59%20GMT	https://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://oldisgold.b12sites.com/index)
22:24:01	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2031%20May%202024%2016:54:02%20GMT	http://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	(from https://oldisgold.b12sites.com/index)
22:24:02	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2031%20May%202024%2016:54:01%20GMT	https://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://oldisgold.b12sites.com/index)
22:24:02	979/979	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2031%20May%202024%2016:54:03%20GMT	https://oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/Users/hp/Documents/Visual%20studio/new/oldisgold.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.19.delayed	(from https://oldisgold.b12sites.com/index)
